#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Beta-N-acetylglucosaminidase	Protein O-GlcNAcase (E.C.3.2.1.169)
Smp_335420.1	Gamma-crystallin-like	IL-4-INDUCING PROTEIN
Smp_335430.1	Gamma-crystallin-like	IL-4-INDUCING PROTEIN
Smp_335440.1	Gamma-crystallin-like	IL-4-INDUCING PROTEIN
Smp_335450.1	Gamma-crystallin-like	IL-4-INDUCING PROTEIN
Smp_335460.1	NA	NA
Smp_335470.1	NA	NA
Smp_335480.1	NA	NA
Smp_335490.1	NA	NA
Smp_335500.1	NA	Trp_leader2 
Smp_335510.1	NA	NA
Smp_335530.1	EGF-like domain	Thrombospondin-1 (TSP-1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_335540.1	Serine proteases, trypsin domain	Urokinase-type plasminogen activator (LMW U-PA), catalytic domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_335550.1	Tetraspanin, EC2 domain superfamily	Tetraspanin 
Smp_335560.1	C-type lectin-like/link domain superfamily	COLLAGEN XVIII
Smp_335570.1	Sodium channel and clathrin linker 1	CCCAP 
Smp_335590.1	Protein phosphatase 2A, regulatory B subunit, B56	Serine/threonine-protein phosphatase 2A regulatory subunit B56-gamma {Human (Homo sapiens) [TaxId: 9606]}
Smp_335600.1	NA	Glycophorin_A 
Smp_335610.1	NA	Envelope glycoprotein B
Smp_335620.1	Oligosaccharyl transferase, STT3 subunit	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B (E.C.2.4.99.18)
Smp_335630.1	Tetraspanin, animals	CD9 antigen
Smp_335650.1	Transcription factor Jun	PROTO-ONCOGENE PROTEIN C-FOS, TRANSCRIPTION FACTOR
Smp_335660.1	Protein of unknown function DUF4508	DUF4508 
Smp_335660.2	Protein of unknown function DUF4508	DUF4508 
Smp_335670.1	Kinesin motor domain	Kinesin {Mouse (Mus musculus), kif1a [TaxId: 10090]}
Smp_335675.1	NA	Esterase YbfF (E.C.3.1.-.-)
Smp_335690.1	NA	NA
Smp_335710.1	Protein kinase domain	Casein kinase-1, CK1 {Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]}
Smp_335720.1	CFA20 domain	CFA20_dom 
Smp_335730.1	Protein kinase domain	Aurora-related kinase 1 (aurora-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_335750.1	NA	NA
Smp_335760.1	NA	NA
Smp_335760.2	NA	NA
Smp_335770.1	Fork head domain	Interleukin enhancer binding factor {Human (Homo sapiens) [TaxId: 9606]}
Smp_335780.1	Glycoside hydrolase, family 5	Putative secreted endoglycosylceramidase
Smp_335785.1	NA	Uncharacterized protein BB2672 {Bordetella bronchiseptica [TaxId: 518]}
Smp_335800.1	NA	NA
Smp_335820.1	C2 domain	Synaptotagmin III {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_335830.1	Armadillo-like helical	RTTN_N 
Smp_335840.1	NA	NA
Smp_335850.1	CDK5 regulatory subunit-associated protein 3	CDK5RAP3 
Smp_335880.1	MFS transporter superfamily	MFS-fold, galactoside binding, secondary active
Smp_335890.1	Aspartic peptidase A1 family	Pepsin(ogen) {Pig (Sus scrofa) [TaxId: 9823]}
Smp_335890.2	Aspartic peptidase A1 family	Pepsin(ogen) {Pig (Sus scrofa) [TaxId: 9823]}
Smp_335890.3	Aspartic peptidase A1 family	Pepsin(ogen) {Human (Homo sapiens), progastricsin (pepsinogen C) [TaxId: 9606]}
Smp_335900.1	Aspartic peptidase A1 family	Pepsin(ogen) {Human (Homo sapiens), progastricsin (pepsinogen C) [TaxId: 9606]}
Smp_335930.1	Glycoside hydrolase, family 5	Putative secreted endoglycosylceramidase
Smp_335950.1	Protein kinase domain	Tyrosine-protein kinase Itk/Tsk {Human (Homo sapiens) [TaxId: 9606]}
Smp_335960.1	Peptidase M16, zinc-binding site	A-beta degrading enzyme, criptidase, bradykinin
Smp_335980.1	RGS domain	RGS9, RGS domain {Cow (Bos taurus) [TaxId: 9913]}
Smp_335990.1	Ubiquitin-like domain	tetra ubiquitin, Optineurin
Smp_336010.1	G protein-coupled receptor, rhodopsin-like	Lysophosphatidic acid receptor 6a,Endolysin,receptor (E.C.3.2.1.17)
Smp_336050.1	WD40/YVTN repeat-like-containing domain superfamily	Itfg2 
Smp_336060.1	NA	RNA_pol_Rpa2_4 
Smp_336070.1	Sodium/potassium/calcium exchanger	Putative uncharacterized protein
Smp_336080.1	Fringe-like	BETA-1,3-N-ACETYLGLUCOSAMINYLTRANSFERASE MANIC FRINGE (E.C.2.4.1.222)
Smp_336100.1	ABC transporter-like, ATP-binding domain	ATP-dependent translocase ABCB1 (E.C.7.6.2.2,7.6.2.1)
Smp_336110.1	G protein-coupled receptor, rhodopsin-like	Rhodopsin {Cow (Bos taurus) [TaxId: 9913]}
Smp_336120.1	NA	Regulatory protein zeste/DNA Complex
Smp_336130.1	NA	NA
Smp_336140.1	G protein-coupled receptor, rhodopsin-like	Platelet-activating factor receptor,Flavodoxin
Smp_336150.1	NA	PROTEIN/RNA Complex
Smp_336170.1	Transient receptor potential channel, canonical	TRPC6, TRPC, calcium, BTDM, FSGS
Smp_336180.1	Peptidase M8, leishmanolysin	LEISHMANOLYSIN
Smp_336190.1	Peptidase S1, PA clan	Prothrombin (E.C.3.4.21.5)/Hirudin IIB
Smp_336200.1	Serine proteases, trypsin domain	Urokinase-type plasminogen activator (LMW U-PA), catalytic domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_336210.1	NA	EGF-like domain of nidogen-1 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_336230.1	Calcineurin-like phosphoesterase domain, ApaH type	Protein phosphatase-1 (PP-1) {Human (Homo sapiens), beta isoform [TaxId: 9606]}
Smp_336250.1	Glutathione S-transferase, N-terminal	Class alpha GST {Schistosoma japonicum [TaxId: 6182]}
Smp_336270.1	Glycosyl transferase, family 8	Xyloside xylosyltransferase 1, human factor
Smp_336280.1	Phox homology	PXA 
Smp_336290.1	NA	CRAM_rpt 
Smp_336290.2	NA	Uncharacterized protein YetJ
Smp_336300.1	P-loop containing nucleoside triphosphate hydrolase	Sulfotransfer_4 
Smp_336310.1	Dpy-30 motif	Dpy-30 
Smp_336310.2	Dpy-30 motif	Dpy-30 
Smp_336320.1	NA	NA
Smp_336330.1	Myelin proteolipid protein PLP	Myelin_PLP 
Smp_336340.1	Zinc finger, TRAF-type	TNF receptor associated factor 3 (TRAF3) {Human (Homo sapiens) [TaxId: 9606]}
Smp_336350.1	Tetratricopeptide-like helical domain superfamily	Bardet-Biedl syndrome 18 protein, BBS1
Smp_336360.1	WD40 repeat	Pre-mRNA-splicing factor 8, Pre-mRNA-splicing helicase
Smp_336365.1	NA	NA
Smp_336370.1	Cadherin-like	Protocadherin-15
Smp_336380.1	Glycosyl transferase family 10	Alpha1,3-fucosyltransferase (E.C.2.4.1.152)
Smp_336400.1	NA	NA
Smp_336610.1	Stabilizer of axonemal microtubules 1/2	Microtubule associated protein SPM1, Tubulin
Smp_336620.1	Neurotransmitter-gated ion-channel	Avermectin-sensitive glutamate-gated chloride channel GluCl
Smp_336630.1	ABC transporter-like, ATP-binding domain	HDL, cholesterol, Tangier Disease, ABC
Smp_336640.1	Exocyst complex component EXOC3/Sec6	Tumor necrosis factor alpha-induced protein
Smp_336650.1	Schwannomin interacting protein 1, C-terminal	SCHIP-1 
Smp_336660.1	Importin-beta, N-terminal domain	Exportin-4, GTP-binding nuclear protein Ran
Smp_336670.1	Tetratricopeptide-like helical domain superfamily	N-terminal acetyltransferase-like protein, Naa10, HypK
Smp_336680.1	Tetratricopeptide-like helical domain superfamily	ANAPHASE-PROMOTING COMPLEX SUBUNIT CUT9, ANAPHASE-PROMOTING
Smp_336700.1	Phosphatidylinositol-4-phosphate 5-kinase, core	Phosphatidylinositol phosphate kinase IIbeta, PIPK IIbeta {Human (Homo sapiens) [TaxId: 9606]}
Smp_336700.2	Phosphatidylinositol-4-phosphate 5-kinase, core	Phosphatidylinositol phosphate kinase IIbeta, PIPK IIbeta {Human (Homo sapiens) [TaxId: 9606]}
Smp_336700.3	Phosphatidylinositol-4-phosphate 5-kinase, core	Phosphatidylinositol phosphate kinase IIbeta, PIPK IIbeta {Human (Homo sapiens) [TaxId: 9606]}
Smp_336700.4	Phosphatidylinositol-4-phosphate 5-kinase, core	Phosphatidylinositol phosphate kinase IIbeta, PIPK IIbeta {Human (Homo sapiens) [TaxId: 9606]}
Smp_336710.1	Zinc finger, CCCH-type	Cleavage and polyadenylation specificity factor
Smp_336720.1	NA	NA
Smp_336730.1	Immunoglobulin subtype 2	841 heavy chain, 841 light
Smp_336740.1	T-box transcription factor	T-box protein 3, tbx3 {Human (Homo sapiens) [TaxId: 9606]}
Smp_336750.1	G protein-coupled receptor, rhodopsin-like	Platelet-activating factor receptor,Flavodoxin
Smp_336770.1	DnaJ domain	Radial spoke 1
Smp_336780.1	NA	NA
Smp_336790.1	FYVE zinc finger	Eea1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_336800.1	Mad3/Bub1 homology region 1	Anaphase-promoting complex subunit 1, Anaphase-promoting
Smp_336830.1	Protein kinase domain	Pkb kinase (Akt-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_336840.1	E3 UFM1-protein ligase 1	NA
Smp_336850.1	NA	Uncharacterized protein AF0587 {Archaeoglobus fulgidus [TaxId: 2234]}
Smp_336870.1	Coagulation factor 5/8 C-terminal domain	Epithelial discoidin domain-containing receptor 1
Smp_336870.2	Coagulation factor 5/8 C-terminal domain	Epithelial discoidin domain-containing receptor 1
Smp_336870.3	Coagulation factor 5/8 C-terminal domain	Epithelial discoidin domain-containing receptor 1
Smp_336880.1	Cysteine-rich  secretory protein-related	Insect allergen 5 (AG5) {Yellow jacket (Vespula vulgaris), Ves v 5 [TaxId: 7454]}
Smp_336900.1	Inositol 1,4,5-trisphosphate receptor	Inositol 1,4,5-trisphosphate receptor type 1
Smp_336990.1	NA	Squamosa-promoter binding-like protein 12, DNA-binding domain {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_337000.1	NA	Colicin D, Colicin D immunity
Smp_337010.1	Protein kinase domain	B-Raf, MEK, 14-3-3, B-Raf complex
Smp_337020.1	Dynein light chain, type 1/2	Dynein light chain 1 (DLC1) {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_337030.1	Dynein light chain, type 1/2	Dynein light chain 1 (DLC1) {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_337040.1	Ribosomal protein L11/L12	bL28m, uL29m, uL30m, bL32m, bL33m
Smp_337060.1	RNA recognition motif domain	Hypothetical protein FLJ20273 {Human (Homo sapiens) [TaxId: 9606]}
Smp_337070.1	NA	C-cadherin ectodomain {African clawed frog (Xenopus laevis) [TaxId: 8355]}
Smp_337080.1	PDZ domain	DISKS LARGE HOMOLOG 4
Smp_337090.1	Las1	Las1 
Smp_337090.2	Ribosomal protein L38e	uL2, uL3, uL4, uL18, eL6
Smp_337100.1	Annexin superfamily	Annexin III {Human (Homo sapiens) [TaxId: 9606]}
Smp_337100.2	Annexin superfamily	Annexin III {Human (Homo sapiens) [TaxId: 9606]}
Smp_337100.3	Annexin superfamily	Annexin III {Human (Homo sapiens) [TaxId: 9606]}
Smp_337100.4	Annexin superfamily	Annexin III {Human (Homo sapiens) [TaxId: 9606]}
Smp_337100.5	NA	NA
Smp_337110.1	Zinc finger, UBR-type	Ubiquitin E3 ligase, ubiquitination, Ubr1
Smp_337130.1	Small GTPase	Rab14 {Human (Homo sapiens) [TaxId: 9606]}
Smp_337140.1	NADH-quinone oxidoreductase, subunit D	Respiratory, Complex, ELECTRON TRANSPORT
Smp_337145.1	GOSR2/Membrin/Bos1	Sec20 
Smp_337150.1	EGF-like domain	Neurexin-1-alpha
Smp_337190.1	Cysteine alpha-hairpin motif superfamily	Cx9C motif-containing protein 4
Smp_337200.1	PHTF1/2, N-terminal	PHTF1-2_N 
Smp_337210.1	NA	EB 
Smp_337220.1	AAA  ATPase domain	Tubulin beta, Tubulin alpha, Heavy
Smp_337230.1	Spo11/DNA topoisomerase VI subunit A	DNA topoisomerase IV, alpha subunit {Archaeon Methanococcus jannaschii [TaxId: 2190]}
Smp_337240.1	G protein-coupled receptor, rhodopsin-like	P2Y purinoceptor 1, Rubredoxin
Smp_337250.1	NA	Taeniidae_ag 
Smp_337260.1	Neural proliferation differentiation control-1	NPDC1 
Smp_337260.2	Neural proliferation differentiation control-1	NPDC1 
Smp_337280.1	Protein kinase domain	Pkb kinase (Akt-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_337290.1	Carbohydrate-binding WSC	Xylosyltransferase 1 (E.C.2.4.2.26), Protein AMBP
Smp_337300.1	NA	DUF4756 
Smp_337310.1	NA	NA
Smp_337320.1	NA	Pacs-1 
Smp_337330.1	Ribosomal protein L21e	uL2, uL15, uL3, eL29, uL4
Smp_337335.1	Neurotransmitter-gated ion-channel	5-hydroxytryptamine receptor 3A
Smp_337340.1	C2 domain	Cep120
Smp_337350.1	NA	NA
Smp_337360.1	Peptidase M13, N-terminal domain	Neutral endopeptidase (E.C.3.4.24.-)
Smp_337370.1	Enolase	Enolase {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_337380.1	NA	NA
Smp_337390.1	Glycosyl transferase, family 25	Glyco_transf_25 
Smp_337395.1	Ribosomal biogenesis regulatory protein	RRS1 
Smp_337400.1	CFA20 domain	CFA20_dom 
Smp_337400.2	Noggin	Noggin {Human (Homo sapiens) [TaxId: 9606]}
Smp_337400.3	CFA20 domain	CFA20_dom 
Smp_337410.1	Ubiquitin E2 variant, N-terminal	Tumor susceptibility gene 101 (TSG101) {Human (Homo sapiens) [TaxId: 9606]}
Smp_337420.1	Ribosomal protein S23, mitochondrial	28S ribosomal protein S24, mitochondrial
Smp_337425.1	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like	ZINC PHOSPHODIESTERASE ELAC PROTEIN 1
Smp_337430.1	Pentatricopeptide repeat	ATP synthase subunit alpha, ATP
Smp_337440.1	NA	NA
Smp_337450.1	NA	NA
Smp_337460.1	Protein kinase domain	Serine/threonine-protein kinase Nek2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_337470.1	WD40 repeat	Pre-mRNA-processing-splicing factor 8, 116 kDa
Smp_337480.1	Protein kinase domain	pak1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_337480.2	NA	NA
Smp_337490.1	NA	Serine/threonine-protein kinase ATR (E.C.2.7.11.1), ATR-interacting
Smp_337490.2	NA	Serine/threonine-protein kinase ATR (E.C.2.7.11.1), ATR-interacting
Smp_337500.1	Serine proteases, trypsin domain	Urokinase-type plasminogen activator (LMW U-PA), catalytic domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_337510.1	NA	ER membrane protein complex subunit
Smp_337520.1	NA	PspA, IM30, Vipp1, ESCRT-III, helical
Smp_337530.1	Phospholipase D/Transphosphatidylase	Phosphatidylserine synthase (E.C.2.7.8.8)
Smp_337540.1	NA	NA
Smp_337550.1	Sas10/Utp3/C1D	Exosome complex exonuclease RRP6 (E.C.3.1.13.-)
Smp_337560.1	NA	DNA damage-binding protein 1, DDB1-
Smp_337570.1	BLOC-1-related complex subunit 6	BORCS6 
Smp_337580.1	SH3 domain	Tight junction protein ZO-1
Smp_337590.1	Matrin/U1-C, C2H2-type zinc finger	Spliceosomal protein U1C {Human (Homo sapiens) [TaxId: 9606]}
Smp_337610.1	NA	Procaspase 9 prodomain {Human (Homo sapiens) [TaxId: 9606]}
Smp_337620.1	Bromo adjacent homology (BAH) domain	DNA (cytosine-5)-methyltransferase 1 (E.C.2.1.1.37), Histone
Smp_337630.1	WD40 repeat	beta1-subunit of the signal-transducing G protein heterotrimer {Cow (Bos taurus) [TaxId: 9913]}
Smp_337640.1	NA	NA
Smp_337650.1	Sperm-associated antigen 17	Ras-related protein Rab-8A, Inositol polyphosphate
Smp_337660.1	Cytochrome b-c1 complex subunit 10	Ubiquinol-cytochrome-c reductase complex core protein
Smp_337670.1	NA	NA
Smp_337730.1	Pancreatic trypsin inhibitor Kunitz domain	Alzheimer's amyloid B-protein precursor, APPI {Human (Homo sapiens) [TaxId: 9606]}
Smp_337740.1	Histone H2A	Histone H2A {Chicken (Gallus gallus), erythrocytes [TaxId: 9031]}
Smp_337750.1	DNA repair protein, Swi5	Swi5-dependent recombination DNA repair protein
Smp_337750.2	Zinc finger, PHD-type	Inhibitor of growth protein 4, Ing4 {Homo sapiens [TaxId: 9606]}
Smp_337760.1	NA	GLI-Krueppel family member HKR3 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_337770.1	Translation machinery associated TMA7	TMA7 
Smp_337780.1	tRNA/rRNA methyltransferase, SpoU type	HYPOTHETICAL TRNA/RRNA METHYLTRANSFERASE YJFH (E.C.2.1.1.-)
Smp_337785.1	Coiled-coil alpha-helical rod protein 1	HCR 
Smp_337790.1	Inositol phosphatase	hSac2
Smp_337795.1	RNA recognition motif domain	Non-POU domain-containing octamer-binding protein, NonO {Mouse (Mus musculus) [TaxId: 10090]}
Smp_337800.1	Bromodomain	CREB-binding protein, CBP {Human (Homo sapiens) [TaxId: 9606]}
Smp_337805.1	APC10/DOC domain	DOC1/APC10
Smp_337810.1	NA	NA
Smp_337820.1	NA	NA
Smp_337830.1	Enoyl-CoA hydratase/isomerase	Enoyl-CoA hydratase (crotonase) {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_337830.3	Biogenesis of lysosome-related organelles complex-1, subunit 2	BLOC1_2 
Smp_337850.1	DDH domain	Exopolyphosphatase (E.C.3.6.1.11)
Smp_337860.1	Zinc finger C2H2-type	Protein arginine N-methyltransferase 3, PRMT3 {Human (Homo sapiens) [TaxId: 9606]}
Smp_337870.1	Protein kinase domain	Pkb kinase (Akt-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_337875.1	Gamma-tubulin complex component protein	Tubulin gamma-1 chain, Gamma-tubulin complex
Smp_337880.1	NA	NA
Smp_337890.1	NA	NA
Smp_337900.1	NA	NA
Smp_340010.1	Trematode Eggshell Synthesis	TES 
Smp_340020.1	Small GTP-binding protein domain	ADP-ribosylation factor {Human (Homo sapiens), ARF6 [TaxId: 9606]}
Smp_340030.1	RNA-recognition motif (RRM) Nup35-type domain	Nucleoporin 35 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_340040.1	Cyclic nucleotide-binding domain	cGMP dependent protein kinase I
Smp_340050.1	Lunapark domain	zinc_ribbon_10 
Smp_340060.1	Serine proteases, trypsin domain	(alpha,gamma)-chymotrypsin(ogen) {Cow (Bos taurus) [TaxId: 9913]}
Smp_340070.1	NUDIX hydrolase domain	CLEAVAGE AND POLYADENYLATION SPECIFICITY FACTOR
Smp_340080.1	SPIN-DOC-like, zinc-finger	zf-C2H2_12 
Smp_340090.1	Translation release factor  pelota	DOM34
Smp_340100.1	SANT/Myb domain	RSC7, Chromatin structure-remodeling complex protein
Smp_340110.1	Kaptin	PHTB1_N 
Smp_340120.1	Malectin domain	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B (E.C.2.4.99.18)
Smp_340130.1	EF-hand domain	Myosin Essential Chain {Bay scallop (Aequipecten irradians) [TaxId: 31199]}
Smp_340130.2	EF-hand domain	Myosin Essential Chain {Bay scallop (Aequipecten irradians) [TaxId: 31199]}
Smp_340140.1	NA	NA
Smp_340150.1	NA	RCR 
Smp_340160.1	Beta-1,4-galactosyltransferase	beta 1,4 galactosyltransferase (b4GalT1) {Cow (Bos taurus) [TaxId: 9913]}
Smp_340170.1	HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase	Cytosolic IMP-GMP specific 5'-nucleotidase {Legionella pneumophila [TaxId: 446]}
Smp_340180.1	MoaB/Mog domain	CINA
Smp_340190.1	Scramblase	Scramblase 
Smp_340200.1	POU-specific domain	Oct-1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_340210.1	60S ribosomal protein L6E	ribosomal protein uL2, ribosomal protein
Smp_340220.1	Protein kinase-like domain superfamily	Choline kinase {Caenorhabditis elegans [TaxId: 6239]}
Smp_340230.1	Snf7 family	Vacuolar protein-sorting-associated protein 24
Smp_340240.1	Armadillo-like helical	Exportin-4, GTP-binding nuclear protein Ran
Smp_340250.1	NA	NA
Smp_340260.1	NA	SAP130_C 
Smp_340265.1	G-patch domain	Zinc finger CCCH-type with G
Smp_340270.1	NA	Cytadhesin_P30 
Smp_340280.1	Zinc finger C2H2-type	FIVE-FINGER GLI/DNA COMPLEX
Smp_340290.1	Armadillo-like helical	Structural maintenance of chromosomes protein
Smp_340300.1	Protein kinase domain	Pkb kinase (Akt-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_340300.2	Protein kinase domain	Pkb kinase (Akt-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_340310.1	Glycoside hydrolase family 47	Class I alpha-1
Smp_340320.1	EF-hand domain	Voltage-dependent L-type calcium channel subunit
Smp_340330.1	Myc-type, basic helix-loop-helix (bHLH) domain	Myod B/HLH domain {Mouse (Mus musculus) [TaxId: 10090]}
Smp_340340.1	CBM21 (carbohydrate binding type-21) domain	CBM_21 domain, carbohydrate binding domain
Smp_340350.1	Male enhanced antigen 1	MEA1 
Smp_340360.1	Ribonuclease CAF1	CCR4-NOT transcription complex subunit 7, CAF1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_340370.1	Zinc finger C2H2-type	Cohesin subunit SA-2, Double-strand-break repair
Smp_340380.1	SNF2, N-terminal	Vacuolar protein sorting-associated protein 72
Smp_340390.1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, animal type	NADH-ubiquinone oxidoreductase chain 3 (E.C.7.1.1.2)
Smp_340400.1	Myc-type, basic helix-loop-helix (bHLH) domain	DNA-BINDING PROTEIN INHIBITOR ID-2
Smp_340410.1	MMM1 domain	Mitochondrial distribution and morphology protein
Smp_340420.1	H/ACA ribonucleoprotein complex, subunit Gar1/Naf1	Telomerase Cajal body protein 1
Smp_340430.1	Double-stranded RNA-binding domain	TAR RNA-binding protein 2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_340430.2	Double-stranded RNA-binding domain	TAR RNA-binding protein 2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_340440.1	NA	NA
Smp_340440.2	NA	NA
Smp_340450.1	Zinc finger C2H2-type	TRANSCRIPTION INITIATION, INITIATOR ELEMENT, YY1
Smp_340460.1	Beta-1,4-galactosyltransferase	beta 1,4 galactosyltransferase (b4GalT1) {Cow (Bos taurus) [TaxId: 9913]}
Smp_340470.1	Sirtuin family	Hst2 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_340480.1	Tetratricopeptide-like helical domain superfamily	Regulator of microtubule dynamics protein
Smp_340490.1	EF-hand domain	Myosin Regulatory Chain {Chicken (Gallus gallus) [TaxId: 9031]}
Smp_340500.1	Vacuolar protein sorting-associated protein 51	Sec5 
Smp_340510.1	Chloride channel CLIC-like	MCLC 
Smp_340520.1	FAM98	DUF2465 
Smp_340520.2	FAM98	DUF2465 
Smp_340530.1	Transmembrane protein 26	Tmem26 
Smp_340540.1	CD36 family	Platelet glycoprotein 4, PfEMP1 variant
Smp_340550.1	NA	NA
Smp_340560.1	Dynein light chain Tctex-1 like	outer-arm dynein, axonemal dynein, microtubule
Smp_340570.1	Saposin B type domain	Pulmonary surfactant-associated protein B
Smp_340580.1	Protein PBDC1, metazoa/fungi	UPF0368 protein YPL225W
Smp_340590.1	Phosphatidylinositol transfer protein	Phoshatidylinositol transfer protein, PITP {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_340600.1	Proteasome component (PCI) domain	EUKARYOTIC TRANSLATION INITIATION FACTOR 3
Smp_340610.1	Tetratricopeptide-like helical domain superfamily	Bardet-Biedl syndrome 18 protein, BBS1
Smp_340620.1	NA	NA
Smp_340630.1	Heat shock protein Hsp90 family	ATP-DEPENDENT MOLECULAR CHAPERONE HSP82, CO-CHAPERONE
Smp_340630.2	Heat shock protein Hsp90 family	ATP-DEPENDENT MOLECULAR CHAPERONE HSP82, CO-CHAPERONE
Smp_340650.1	NA	Claudin_3 
Smp_340650.2	NA	Protocadherin-15, LHFPL tetraspan subfamily member
Smp_340660.1	NA	Maltose ABC transporter periplasmic protein
Smp_340670.1	Sodium/potassium-transporting ATPase subunit beta	Na_K-ATPase 
Smp_340680.1	Sulfite reductase [NADPH] flavoprotein alpha-component-like, FAD-binding	Neuronal nitric-oxide synthase FAD/NADP+ domain {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_340690.1	NA	Keratinocyte growth factor, FGF7 {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_340700.1	Ankyrin repeat	Cell cycle inhibitor p16ink4A {Human (Homo sapiens) [TaxId: 9606]}
Smp_340710.1	CobW/HypB/UreG, nucleotide-binding domain	Hypothetical protein YjiA, N-terminal domain {Escherichia coli [TaxId: 562]}
Smp_340720.1	Zinc finger, CCCH-type	Cleavage and polyadenylation specificity factor
Smp_340730.1	Splicing factor cactin, central domain	CactinC_cactus 
Smp_340740.1	Lysosome-associated membrane glycoprotein	Lysosome-associated membrane glycoprotein 2
Smp_340750.1	NA	PROTEIN
Smp_340750.2	WD40 repeat	PROTEIN
Smp_340760.1	Tropomyosin	striated-muscle alpha tropomyosin
Smp_340760.2	Tropomyosin	striated-muscle alpha tropomyosin
Smp_340770.1	Zinc finger C2H2-type	Zinc finger protein 297b {Human (Homo sapiens) [TaxId: 9606]}
Smp_340780.1	Pleckstrin homology domain	Actin-binding protein anillin
Smp_340790.1	RNA recognition motif domain	Cold-inducible RNA-binding protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_340800.1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	Protein-L-isoaspartyl O-methyltransferase {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_340810.1	Phosphatidic acid phosphatase type 2/haloperoxidase	Putative lipid phosphate phosphatase YodM
Smp_340820.1	Oxidoreductase, molybdopterin-binding domain	SULFITE OXIDASE, PHOSPHONIC ACIDMONO-(2-AMINO-5,6-DIMERCAPTO-4-OXO-3,7,8A,9,10,10A-HEXAHYDRO-4H-8-OXA-1,3,9,10-TETRAAZA-ANTHRACEN-7-YLMETHYL)ESTER, MOLYBDENUM
Smp_340830.1	Enkurin domain	cilia, microtubule, dynein, motility, STRUCTURAL
Smp_340840.1	NA	FeoB_associated 
Smp_340850.1	Glucose-6-phosphate dehydrogenase	GLUCOSE 6-PHOSPHATE 1-DEHYDROGENASE (E.C.1.1.1.49)
Smp_340860.1	NA	NA
Smp_340870.1	Globin	Hemoglobin, different isoforms {Caudina arenicola, also known as Molpadia arenicola [TaxId: 7698]}
Smp_340880.1	Cyclic nucleotide-binding domain	Rap guanine nucleotide exchange factor
Smp_340880.2	Cyclic nucleotide-binding domain	Rap guanine nucleotide exchange factor
Smp_340890.1	Zinc finger C2H2-type	Transcriptional repressor CTCF/DNA Complex
Smp_340900.1	Ribosomal protein S8e	Ribosome
Smp_340910.1	Membrane-associated, eicosanoid/glutathione metabolism (MAPEG) protein	Arachidonate 5-lipoxygenase-activating protein, FLAP {Human (Homo sapiens) [TaxId: 9606]}
Smp_340920.1	UbiA prenyltransferase family	4-hydroxybenzoate octaprenyltransferase (E.C.2.5.1.-)
Smp_340930.1	C2 domain superfamily	Synaptotagmin IV {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_340940.1	WD40/YVTN repeat-like-containing domain superfamily	Arp2/3 complex 41 kDa subunit ARPC1 {Cow (Bos taurus) [TaxId: 9913]}
Smp_340950.1	NA	Interleukin-13, Interleukin-4 receptor subunit alpha
