#Transcript_ID	GFF_annotation	HHsearch_annotation
Smp_000020.1	Beta-N-acetylglucosaminidase	Protein O-GlcNAcase (E.C.3.2.1.169,3.2.1.-)
Smp_303970.1	Armadillo-like helical	Protein STU1
Smp_303980.1	IPT domain	G8 
Smp_304000.1	Immunoglobulin-like fold	CD28 {Human (Homo sapiens) [TaxId: 9606]}
Smp_304030.1	Afadin/alpha-actinin-binding	ADIP 
Smp_304040.1	NA	ADIP 
Smp_304050.1	NA	NA
Smp_304060.1	C2 domain superfamily	Synaptotagmin III {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_304090.1	Ras-associating (RA) domain	Afadin {Mouse (Mus musculus) [TaxId: 10090]}
Smp_304090.2	NA	NA
Smp_304090.3	Ras-associating (RA) domain	Afadin {Mouse (Mus musculus) [TaxId: 10090]}
Smp_304090.4	Ras-associating (RA) domain	GTPase HRas (E.C.3.6.5.2), Ras association
Smp_304090.5	Ras-associating (RA) domain	Afadin {Mouse (Mus musculus) [TaxId: 10090]}
Smp_304130.1	Zinc finger, RING-CH-type	RINGv 
Smp_304130.2	Zinc finger, RING-CH-type	RINGv 
Smp_304140.1	Peptidase S8/S53 domain	Thermostable serine protease {Bacillus sp., AK.1 [TaxId: 1409]}
Smp_304210.1	NA	Axonin-1 {Chicken (Gallus gallus) [TaxId: 9031]}
Smp_304220.1	Thrombospondin type-1 (TSP1) repeat	Thrombospondin-1 (TSP-1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_304250.1	Nucleoside phosphorylase domain	Purine nucleoside phosphorylase, PNP {Cow (Bos taurus) [TaxId: 9913]}
Smp_304260.1	Nucleoside phosphorylase domain	Purine nucleoside phosphorylase, PNP {Cow (Bos taurus) [TaxId: 9913]}
Smp_304320.1	NA	NA
Smp_304320.2	Ubiquitin-conjugating enzyme E2	Baculoviral IAP repeat-containing protein 6
Smp_304320.3	Ubiquitin-conjugating enzyme E2	Baculoviral IAP repeat-containing protein 6
Smp_304320.4	NA	NA
Smp_304320.5	NA	NA
Smp_304320.6	NA	NA
Smp_304360.1	Protein prenyltransferase, alpha subunit	Protein farnesyltransferase alpha-subunit {Human (Homo sapiens) [TaxId: 9606]}
Smp_304360.2	Protein prenyltransferase, alpha subunit	Protein farnesyltransferase alpha-subunit {Human (Homo sapiens) [TaxId: 9606]}
Smp_304370.1	Kinase associated domain 1 (KA1)	Map/microtubule affinity-regulating kinase 3 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_304370.2	Protein kinase domain	Aurora-related kinase 1 (aurora-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_304370.3	Protein kinase domain	Aurora-related kinase 1 (aurora-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_304370.4	Protein kinase domain	Cell cycle checkpoint kinase chk1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_304380.1	SWIB/MDM2 domain	Histone H3.2, Histone H4, Histone
Smp_304450.1	Asteroid	Flap endonuclease 1 (E.C.3.1.-.-)
Smp_304460.1	SANT/Myb domain	Lysine-specific histone demethylase 1A (E.C.1.-.-.-)
Smp_304460.2	SANT/Myb domain	REST corepressor 1, CoREST {Human (Homo sapiens) [TaxId: 9606]}
Smp_304460.3	NA	Lysine-specific histone demethylase 1A (E.C.1.-.-.-)
Smp_304500.1	Protein kinase-like domain superfamily	Dual specificity mitogen-activated protein kinase kinase 1, Mek1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_304500.2	Protein kinase domain	Serine/threonine-protein kinase Nek2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_304500.3	Protein kinase domain	Serine/threonine-protein kinase Nek2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_304500.4	Protein kinase domain	Serine/threonine-protein kinase Nek2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_304660.1	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase, NDK {Mycobacterium tuberculosis [TaxId: 1773]}
Smp_304660.2	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase, NDK {Mycobacterium tuberculosis [TaxId: 1773]}
Smp_304710.1	NA	pGolemi
Smp_304710.2	NA	pGolemi
Smp_304710.3	NA	NA
Smp_304710.4	NA	NA
Smp_304720.1	Protein kinase domain	Death-associated protein kinase, Dap {Human (Homo sapiens) [TaxId: 9606]}
Smp_304800.1	GPI mannosyltransferase	Glyco_transf_22 
Smp_304800.2	GPI mannosyltransferase	Glyco_transf_22 
Smp_304800.3	tRNA-guanine(15) transglycosylase-like	Queosine tRNA-guanine transglycosylase {Zymomonas mobilis [TaxId: 542]}
Smp_304800.4	GPI mannosyltransferase	Glyco_transf_22 
Smp_304800.5	Zinc finger C2H2-type	Transcriptional repressor CTCF/DNA Complex
Smp_304840.1	Tetratricopeptide-like helical domain superfamily	TRANSCRIPTION FACTOR TAU 131 KDA
Smp_304840.2	Tetratricopeptide-like helical domain superfamily	TRANSCRIPTION FACTOR TAU 131 KDA
Smp_304840.3	Tetratricopeptide-like helical domain superfamily	TRANSCRIPTION FACTOR TAU 131 KDA
Smp_304840.4	Tetratricopeptide-like helical domain superfamily	Peroxin pex5 (peroxisomal targeting signal 1 (PTS1) receptor) {Trypanosoma brucei [TaxId: 5691]}
Smp_304860.1	NA	MTAbl13 of grafted MCoTI-II
Smp_304870.1	NA	NA
Smp_304880.1	NA	NA
Smp_304890.1	SCL-interrupting locus protein	Putative uncharacterized protein
Smp_304890.2	SCL-interrupting locus protein	Putative uncharacterized protein
Smp_304900.1	NA	zf-PARP 
Smp_304900.2	NA	zf-PARP 
Smp_304910.1	NA	NA
Smp_304960.1	NA	Splicing factor 3A subunit 3
Smp_304960.2	ATP-dependent RNA helicase DEAD-box, conserved site	Splicing factor 3A subunit 3
Smp_304970.1	Helicase, C-terminal	Splicing factor 3A subunit 3
Smp_304980.1	Zinc finger C2H2-type	Zinc finger protein 297b {Human (Homo sapiens) [TaxId: 9606]}
Smp_305030.1	B9 domain	B9-C2 
Smp_305030.2	B9 domain	B9-C2 
Smp_305030.3	B9 domain	B9-C2 
Smp_305050.1	Centrosomal protein of 131kDa	ARP1 actin related protein 1
Smp_305050.2	Centrosomal protein of 131kDa	DUF3584 
Smp_305060.1	NA	NA
Smp_305070.1	NA	NA
Smp_305100.1	NA	NA
Smp_305100.2	Armadillo-type fold	Centrosomal protein of 104 kDa
Smp_305100.3	Armadillo-type fold	LP04448p
Smp_305110.1	NA	Fer2_2 
Smp_305120.1	Small GTP-binding protein domain	GTP-BINDING PROTEIN ERA
Smp_305120.2	GTP binding domain	GTP-BINDING PROTEIN ERA
Smp_305120.3	K homology domain superfamily, prokaryotic type	GTP-BINDING PROTEIN ERA
Smp_305120.4	Small GTP-binding protein domain	GTPase Era, N-terminal domain {Thermus thermophilus [TaxId: 274]}
Smp_305120.5	Small GTP-binding protein domain	GTPase Era, N-terminal domain {Thermus thermophilus [TaxId: 274]}
Smp_305130.1	GTP binding domain	TrmE GTPase domain {Thermotoga maritima [TaxId: 2336]}
Smp_305130.2	GTP binding domain	TrmE GTPase domain {Thermotoga maritima [TaxId: 2336]}
Smp_305200.1	RNA recognition motif domain	Heterogeneous nuclear ribonucleoproteins C1/C2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_305210.1	TCF25/Rqc1	Tcf25 
Smp_305210.2	TCF25/Rqc1	Tcf25 
Smp_305210.3	TCF25/Rqc1	Tcf25 
Smp_305210.4	NA	DUF364 
Smp_305210.5	TCF25/Rqc1	Tcf25 
Smp_305220.1	Protein melted-like	NA
Smp_305220.2	NA	Ypt/Rab-GAP domain of gyp1p {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_305220.3	Protein melted-like	NA
Smp_305220.4	NA	NA
Smp_305350.1	Ras guanine-nucleotide exchange factors catalytic domain	Son of sevenless protein homolog 1 (sos-1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_305350.2	Ras guanine-nucleotide exchange factors catalytic domain	Son of sevenless protein homolog 1 (sos-1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_305350.3	NA	Maltodextrin-binding protein,Reversion-inducing cysteine-rich protein with
Smp_305400.1	SH3 domain	DISKS LARGE HOMOLOG 4
Smp_305400.2	SH3 domain	MAGUK p55 subfamily member 5
Smp_305410.1	Protein of unknown function DUF716	DUF716 
Smp_305430.1	GPCR, family 3, metabotropic glutamate receptor	Metabotropic glutamate receptor 5
Smp_305430.2	GPCR, family 3, metabotropic glutamate receptor	Metabotropic glutamate receptor 5
Smp_305460.1	NA	OprF 
Smp_305490.1	Zinc finger, ZZ-type	EF-hand_2 
Smp_305490.2	Zinc finger, ZZ-type	EF-hand_2 
Smp_305490.3	Calponin homology domain	beta-spectrin {Human (Homo sapiens) [TaxId: 9606]}
Smp_305490.4	Spectrin repeat	Spectrin alpha chain, brain
Smp_305490.5	Spectrin repeat	Spectrin alpha chain, brain
Smp_305490.6	Actinin-type actin-binding domain, conserved site	beta-spectrin {Human (Homo sapiens) [TaxId: 9606]}
Smp_305490.7	Actinin-type actin-binding domain, conserved site	Dystrophin {Human (Homo sapiens) [TaxId: 9606]}
Smp_305550.1	Serpin family	Plasminogen activator inhibitor-1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_305560.1	TMPIT-like	TMPIT 
Smp_305560.2	TMPIT-like	TMPIT 
Smp_305560.3	TMPIT-like	TMPIT 
Smp_305560.4	NA	TMPIT 
Smp_305590.1	NA	NA
Smp_305620.1	NA	NA
Smp_305690.1	Small GTPase	Rad {Human (Homo sapiens) [TaxId: 9606]}
Smp_305720.1	Kinesin motor domain	Kinesin {Neurospora crassa [TaxId: 5141]}
Smp_305730.1	NA	NA
Smp_305740.1	Nicotinic acetylcholine receptor	Fusion protein of Neuronal acetylcholine
Smp_305740.2	Nicotinic acetylcholine receptor	Fusion protein of Neuronal acetylcholine
Smp_305760.1	NA	Histone H3-like centromeric protein A
Smp_305770.1	DnaJ domain	DUF1992 
Smp_305780.1	NA	NA
Smp_305800.1	Proteasome, subunit alpha/beta	Proteasome beta subunit (catalytic) {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_305870.1	PDZ domain	DISKS LARGE HOMOLOG 4
Smp_305870.2	PDZ domain	DISKS LARGE HOMOLOG 4
Smp_305920.1	Protein-tyrosine sulfotransferase	Protein-tyrosine sulfotransferase 1 (E.C.2.8.2.20), gastrin
Smp_306080.1	DNA-directed DNA polymerase, family B, exonuclease domain	DNA primase small subunit (E.C.2.7.7.-)
Smp_306120.1	Protein kinase domain	Titin
Smp_306130.1	Cilia- and flagella-associated protein 206	FAP206 
Smp_306140.1	Mediator complex, subunit Med31	Mediator of RNA polymerase II
Smp_306140.2	Mediator complex, subunit Med31	Mediator of RNA polymerase II
Smp_306140.3	Mediator complex, subunit Med31	Mediator of RNA polymerase II
Smp_306180.1	Membrane attack complex component/perforin (MACPF) domain	Macrophage-expressed gene 1 protein
Smp_306190.1	NA	Taeniidae_ag 
Smp_306190.2	NA	Taeniidae_ag 
Smp_306200.1	FERM domain	FERM, RhoGEF and pleckstrin domain
Smp_306200.2	FERM domain	Focal adhesion kinase 1 (E.C.2.7.10.2)
Smp_306200.3	NA	NA
Smp_306200.4	NA	NA
Smp_306200.5	FERM domain	E3 ubiquitin-protein ligase MYLIP (E.C.2.3.2.27)
Smp_306210.1	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase, NDK {Mycobacterium tuberculosis [TaxId: 1773]}
Smp_306210.2	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase, NDK {Mycobacterium tuberculosis [TaxId: 1773]}
Smp_306230.1	RNA recognition motif domain	Activated protein kinase C receptor
Smp_306230.2	RNA recognition motif domain	Activated protein kinase C receptor
Smp_306240.1	Nicotinic acetylcholine receptor	Acetylcholine receptor subunit alpha, Acetylcholine
Smp_306240.2	Nicotinic acetylcholine receptor	Acetylcholine receptor subunit alpha, Acetylcholine
Smp_306270.1	Zinc finger, ZZ-type	Mind bomb 1
Smp_306290.1	Phosphate transporter	PHO4 
Smp_306300.1	Phosphate transporter	PHO4 
Smp_306320.1	NA	Muted 
Smp_306350.1	Glycosyl transferase family 10	Glyco_transf_10 
Smp_306360.1	NA	NA
Smp_306360.2	NA	RNA polymerase sigma factor RpoD
Smp_306360.3	NA	Initiation factor 4a {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_306360.4	NA	NA
Smp_306360.5	Alpha/beta hydrolase fold-1	Abhydrolase_1 
Smp_306360.6	NA	NA
Smp_306360.7	NA	Nucleoside triphosphate pyrophosphorylase (MutT) {Escherichia coli [TaxId: 562]}
Smp_306370.1	Protein kinase domain	Aurora-related kinase 1 (aurora-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_306370.2	Protein kinase domain	Aurora-related kinase 1 (aurora-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_306370.3	Protein kinase domain	Aurora-related kinase 1 (aurora-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_306370.4	Kinase associated domain 1 (KA1)	Serine/threonine-protein kinase MARK1 (E.C.2.7.11.1)
Smp_306440.1	Zinc finger C2H2-type	Cohesin subunit SA-2, Double-strand-break repair
Smp_306450.1	EGF-like domain	Growth arrest-specific protein 6, Tyrosine-protein
Smp_306580.1	Short-chain dehydrogenase/reductase SDR	Carbonyl reductase/20beta-hydroxysteroid dehydrogenase {Human (Homo sapiens) [TaxId: 9606]}
Smp_306600.1	Actin family	RuvB-like helicase (E.C.3.6.4.12), Ino80, Uncharacterized
Smp_306610.1	Dynein 1 light intermediate chain	DLIC 
Smp_306630.1	Ribosomal protein L19	39S ribosomal protein L2, mitochondrial
Smp_306640.1	Armadillo-type fold	Importin beta-like protein KAP120
Smp_306640.2	Armadillo-type fold	Importin beta-like protein KAP120
Smp_306640.3	NA	GENERAL NEGATIVE REGULATOR OF TRANSCRIPTION
Smp_306680.1	Serine proteases, trypsin domain	Urokinase-type plasminogen activator (LMW U-PA), catalytic domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_306690.1	G-patch domain	G-patch 
Smp_306710.1	Translocon-associated protein (TRAP), alpha subunit	TRAP_alpha 
Smp_306720.1	Translocon-associated protein (TRAP), alpha subunit	TRAP_alpha 
Smp_306730.1	Diphthine--ammonia ligase/Uncharacterised protein MJ0570	FKBO
Smp_306730.2	Diphthamide synthase domain	Hypothetical protein PH1257 {Archaeon Pyrococcus horikoshii [TaxId: 53953]}
Smp_306740.1	Diphthamide synthase domain	Hypothetical protein PH1257 {Archaeon Pyrococcus horikoshii [TaxId: 53953]}
Smp_306750.1	Diphthamide synthase domain	Hypothetical protein PH1257 {Archaeon Pyrococcus horikoshii [TaxId: 53953]}
Smp_306800.1	Dbl homology (DH) domain	Rho guanine nucleotide exchange factor 11,  PDZ-RhoGEF {Human (Homo sapiens) [TaxId: 9606]}
Smp_306800.2	Dbl homology (DH) domain	Rho guanine nucleotide exchange factor 11,  PDZ-RhoGEF {Human (Homo sapiens) [TaxId: 9606]}
Smp_306800.3	NA	NA
Smp_306810.1	Domain of unknown function DUF2428, death-receptor-like	DUF2428 
Smp_306810.2	Domain of unknown function DUF2428, death-receptor-like	DUF2428 
Smp_306810.3	Domain of unknown function DUF2428, death-receptor-like	DUF2428 
Smp_306810.4	Domain of unknown function DUF2428, death-receptor-like	DUF2428 
Smp_306840.1	NA	NA
Smp_306850.1	NA	Sucrose phosphorylase {Bifidobacterium adolescentis [TaxId: 1680]}
Smp_306860.1	Glutathione S-transferase, N-terminal	GLUTATHIONE S-TRANSFERASE 28 KDA (E.C.2.5.1.18)
Smp_306910.1	Integrin alpha chain	Integrin alpha-V, Integrin beta-3
Smp_306920.1	NA	NA
Smp_306930.1	NA	NA
Smp_306960.1	Short-chain dehydrogenase/reductase SDR	Carbonyl reductase/20beta-hydroxysteroid dehydrogenase {Human (Homo sapiens) [TaxId: 9606]}
Smp_306970.1	Short-chain dehydrogenase/reductase SDR	Carbonyl reductase/20beta-hydroxysteroid dehydrogenase {Human (Homo sapiens) [TaxId: 9606]}
Smp_306980.1	Innexin	Innexin 
Smp_306980.2	Innexin	Innexin 
Smp_306980.3	Innexin	Innexin 
Smp_306990.1	NA	Desmoplakin intermediate filament-binding domains {Human (Homo sapiens) [TaxId: 9606]}
Smp_307000.1	Desmoplakin, SH3 domain	Plectin
Smp_307010.1	Actin family	RuvB-like helicase (E.C.3.6.4.12), Ino80, Uncharacterized
Smp_307020.1	Actin family	RuvB-like helicase (E.C.3.6.4.12), Ino80, Uncharacterized
Smp_307050.1	RNA recognition motif domain	TAR DNA-binding protein 43
Smp_307060.1	PWWP domain	Histone-lysine N-methyltransferase ASH1L (E.C.2.1.1.43), Mortality
Smp_307070.1	Origin recognition complex, subunit 3	Origin recognition complex subunit 3
Smp_307080.1	NA	NA
Smp_307080.2	NA	NA
Smp_307080.3	NA	NA
Smp_307080.4	NA	Transcription regulatory protein SNF12, SWI/SNF
Smp_307090.1	NA	NA
Smp_307090.2	Actinin-type actin-binding domain, conserved site	Fimbrin (Plastin), actin-crosslinking domain {Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]}
Smp_307090.3	Actinin-type actin-binding domain, conserved site	Fimbrin (Plastin), actin-crosslinking domain {Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]}
Smp_307090.4	Actinin-type actin-binding domain, conserved site	Fimbrin (Plastin), actin-crosslinking domain {Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]}
Smp_307090.5	Actinin-type actin-binding domain, conserved site	Fimbrin (Plastin), actin-crosslinking domain {Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]}
Smp_307090.6	Actinin-type actin-binding domain, conserved site	Fimbrin (Plastin), actin-crosslinking domain {Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]}
Smp_307090.7	NA	ALPHA-ACTININ 2
Smp_307170.1	NA	NA
Smp_307210.1	Phosphatidate cytidylyltransferase, mitochondrial	Tam41_Mmp37 
Smp_307220.1	NA	SurA_N_2 
Smp_307220.2	NA	SurA_N_2 
Smp_307220.3	NA	SurA_N_2 
Smp_307240.1	NA	NA
Smp_307260.1	Protein kinase domain	cAMP-dependent PK, catalytic subunit {Mouse (Mus musculus) [TaxId: 10090]}
Smp_307260.2	Protein kinase domain	cAMP-dependent PK, catalytic subunit {Mouse (Mus musculus) [TaxId: 10090]}
Smp_307260.3	Protein kinase domain	cAMP-dependent PK, catalytic subunit {Mouse (Mus musculus) [TaxId: 10090]}
Smp_307260.4	AGC-kinase, C-terminal	cAMP-dependent PK, catalytic subunit {Mouse (Mus musculus) [TaxId: 10090]}
Smp_307270.1	Innexin	Innexin 
Smp_307330.1	NA	DUF3767 
Smp_307360.1	G protein-coupled receptor, rhodopsin-like	Endothelin receptor type B,Endolysin,Endothelin receptor
Smp_307400.1	Conserved oligomeric Golgi complex, subunit 4	COG4 
Smp_307410.1	GNAT domain	Yeast Saccharomyces cerevisiae Naa15, Yeast
Smp_307430.1	NA	NA
Smp_307440.1	Phosphoglycerate kinase	Phosphoglycerate kinase {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_307450.1	Pancreatic trypsin inhibitor Kunitz domain	Alzheimer's amyloid B-protein precursor, APPI {Human (Homo sapiens) [TaxId: 9606]}
Smp_307450.2	Pancreatic trypsin inhibitor Kunitz domain	Alzheimer's amyloid B-protein precursor, APPI {Human (Homo sapiens) [TaxId: 9606]}
Smp_307450.3	Pancreatic trypsin inhibitor Kunitz domain	Alzheimer's amyloid B-protein precursor, APPI {Human (Homo sapiens) [TaxId: 9606]}
Smp_307460.1	NA	NA
Smp_307470.1	NA	NA
Smp_307490.1	Biotin/lipoyl attachment	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate
Smp_307500.1	NA	Endolysin,Claudin-4 (E.C.3.2.1.17), Heat-labile enterotoxin B
Smp_307510.1	Calcineurin-like phosphoesterase domain, ApaH type	Plant purple acid phosphatase, catalytic domain {Kidney bean (Phaseolus vulgaris) [TaxId: 3885]}
Smp_307520.1	NA	Kruppel-like factor 3, Bklf {Mouse (Mus musculus) [TaxId: 10090]}
Smp_307530.1	Sin3 associated polypeptide p18	HISTONE DEACETYLASE COMPLEX SUBUNIT SAP18
Smp_307540.1	Ribosomal protein S15	PROTEIN/RNA Complex
Smp_307550.1	Ribosomal protein S15	PROTEIN/RNA Complex
Smp_307570.1	RNA-binding S4 domain	Ribosomal large subunit pseudouridine synthase D, RluD {Escherichia coli [TaxId: 562]}
Smp_307570.2	RNA-binding S4 domain	Ribosomal large subunit pseudouridine synthase
Smp_307580.1	NA	NA
Smp_307590.1	Organic anion transporter polypeptide	OATP 
Smp_307590.2	Organic anion transporter polypeptide	OATP 
Smp_307600.1	BEACH domain	Lipopolysaccharide-responsive and beige-like anchor protein
Smp_307620.1	NA	NA
Smp_307630.1	Zinc finger, TFIIS-type	RBP9 subunit of RNA polymerase II {Archaeon Thermococcus celer [TaxId: 2264]}
Smp_307640.1	Tyrosinase copper-binding domain	Cast 
Smp_307650.1	NA	NA
Smp_307730.1	Alpha-ketoglutarate-dependent dioxygenase alkB homologue 4	Uncharacterized protein P8A3.02c
Smp_307730.2	Alpha-ketoglutarate-dependent dioxygenase alkB homologue 4	Uncharacterized protein P8A3.02c
Smp_307780.1	Cadherin-like	Protocadherin-15
Smp_307800.1	NA	Phosphoenolpyruvate phosphomutase
Smp_307800.2	NA	L-prolyl-AMP Ligase PltF, Peptidyl carrier
Smp_307800.3	NA	L-prolyl-AMP Ligase PltF, Peptidyl carrier
Smp_307800.4	NA	NA
Smp_307810.1	Succinate dehydrogenase assembly factor 3, mitochondrial	Cysteine desulfurase, mitochondrial (E.C.2.8.1.7), LYR
Smp_307810.2	Succinate dehydrogenase assembly factor 3, mitochondrial	39S ribosomal protein L2, mitochondrial
Smp_307810.3	Succinate dehydrogenase assembly factor 3, mitochondrial	39S ribosomal protein L2, mitochondrial
Smp_307810.4	NA	NA
Smp_307810.5	NA	DUF5631 
Smp_307830.1	NA	NA
Smp_307840.1	Alkaline phosphatase	Alkaline phosphatase {Northern shrimp (Pandalus borealis) [TaxId: 6703]}
Smp_307880.1	von Willebrand factor, type A	Voltage-dependent L-type calcium channel subunit
Smp_307880.2	von Willebrand factor, type A	Voltage-dependent L-type calcium channel subunit
Smp_307880.3	von Willebrand factor, type A	Voltage-dependent L-type calcium channel subunit
Smp_307880.4	NA	Voltage-dependent L-type calcium channel subunit
Smp_307900.1	Trematode Eggshell Synthesis	TES 
Smp_307950.1	Metallo-beta-lactamase	Glyoxalase II (hydroxyacylglutathione hydrolase) {Salmonella typhimurium [TaxId: 90371]}
Smp_307950.2	Metallo-beta-lactamase	Glyoxalase II (hydroxyacylglutathione hydrolase) {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_307950.3	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like	Glyoxalase II (hydroxyacylglutathione hydrolase) {Salmonella typhimurium [TaxId: 90371]}
Smp_307960.1	cDENN domain	DENN domain-containing protein 1A, Ras-related
Smp_307960.2	MAP kinase-activating death domain protein	SBF2 
Smp_307960.3	cDENN domain	DENN domain-containing protein 1A, Ras-related
Smp_308030.1	Ankyrin repeat	Lin-12 {Caenorhabditis elegans [TaxId: 6239]}
Smp_308040.1	NA	Prominin 
Smp_308060.1	NA	DHD127_A, DHD127_B
Smp_308060.2	NA	CoG4
Smp_308060.3	NA	COG4 
Smp_308070.1	Zinc finger C2H2-type	Zinc finger protein 297b {Human (Homo sapiens) [TaxId: 9606]}
Smp_308100.1	WD40 repeat	TROVE 
Smp_308100.2	WD40 repeat	TROVE 
Smp_308110.1	WD40 repeat	TROVE 
Smp_308140.1	Nucleoside phosphorylase domain	Uridine phosphorylase (E.C.2.4.2.3)
Smp_308140.2	Nucleoside phosphorylase domain	Uridine phosphorylase (E.C.2.4.2.3)
Smp_308140.3	Nucleoside phosphorylase domain	Uridine phosphorylase (E.C.2.4.2.3)
Smp_308260.1	NA	NA
Smp_308260.2	NA	NA
Smp_308260.3	NA	NA
Smp_308260.4	NA	SCIMP 
Smp_308270.1	Zinc finger, HIT-type	Zinc finger HIT domain-containing protein
Smp_308270.2	NA	Zinc finger HIT domain-containing protein
Smp_308300.1	NA	DUF4999 
Smp_308310.1	Helix-turn-helix motif	Homeotic bicoid protein {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_308350.1	Protein-tyrosine sulfotransferase	Protein-tyrosine sulfotransferase 1 (E.C.2.8.2.20), gastrin
Smp_308360.1	ZC3H15/TMA46 family, C-terminal	DFRP_C 
Smp_308370.1	Transcription factor, GTP-binding domain	Eukaryotic peptide chain release factor
Smp_308420.1	Actin-depolymerising factor homology domain	Adf-H domain of twinfilin isoform-1 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_308440.1	NA	NA
Smp_308470.1	SEA domain	SEA 
Smp_308470.2	SEA domain	SEA 
Smp_308480.1	SEA domain	SEA 
Smp_308480.2	SEA domain	SEA 
Smp_308490.1	SEA domain	Transmembrane protease (E.C.3.4.21.-)
Smp_308550.1	METTL16/RlmF family	Methyltransferase 10 domain containing protein METT10D {Human (Homo sapiens) [TaxId: 9606]}
Smp_308550.2	METTL16/RlmF family	Methyltransferase 10 domain containing protein METT10D {Human (Homo sapiens) [TaxId: 9606]}
Smp_308550.3	METTL16/RlmF family	Methyltransferase 10 domain containing protein METT10D {Human (Homo sapiens) [TaxId: 9606]}
Smp_308590.1	Myotubularin-like phosphatase domain	MYOTUBULARIN-RELATED PROTEIN 6 (E.C.3.1.3.-)
Smp_308600.1	FYVE zinc finger	Myotubularin-related protein 2, C-terminal domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_308630.1	GroES-like superfamily	Trans-2-enoyl-CoA reductase (E.C.1.3.1.38)
Smp_308680.1	Protein phosphatase 2A regulatory subunit PR55	Serine/threonine-protein phosphatase 2A 65 kDa
Smp_308680.2	Protein phosphatase 2A regulatory subunit PR55	Serine/threonine-protein phosphatase 2A 65 kDa
Smp_308690.1	Protein phosphatase 2A regulatory subunit PR55	NA
Smp_308700.1	Protein phosphatase 2A regulatory subunit PR55	Serine/threonine-protein phosphatase 2A 65 kDa
Smp_308750.1	NA	NA
Smp_308750.2	NA	NA
Smp_308760.1	NA	VASODILATOR-STIMULATED PHOSPHOPROTEIN
Smp_308820.1	Leucine-rich repeat	Myeloperoxidase (E.C.1.11.2.2)
Smp_308830.1	NA	NA
Smp_308830.2	Domain of unknown function DUF4550	DUF4550 
Smp_308830.3	Domain of unknown function DUF4550	DUF4550 
Smp_308910.1	NA	NA
Smp_308930.1	Short-chain dehydrogenase/reductase SDR	beta-keto acyl carrier protein reductase {Streptomyces coelicolor [TaxId: 1902]}
Smp_308940.1	Short-chain dehydrogenase/reductase SDR	11-beta-hydroxysteroid dehydrogenase 1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_308980.1	BRCT domain	BRCT-containing protein 1
Smp_309000.1	BRCT domain	Regulator of Ty1 transposition protein
Smp_309060.1	P-loop containing nucleoside triphosphate hydrolase	Sulfotransferase
Smp_309090.1	NA	NA
Smp_309100.1	NA	NA
Smp_309110.1	NAD(P)-binding domain	TAT-interacting protein TIP30 {Human (Homo sapiens) [TaxId: 9606]}
Smp_309120.1	NA	NA
Smp_309140.1	Aspartyl/Asparaginyl-tRNA synthetase, class IIb	ASPARTATE--TRNA LIGASE, MITOCHONDRIAL (E.C.6.1.1.12)
Smp_309140.2	Aspartyl/Asparaginyl-tRNA synthetase, class IIb	ASPARTATE--TRNA LIGASE, MITOCHONDRIAL (E.C.6.1.1.12)
Smp_309180.1	NA	Stage II sporulation protein D
